type,Rank,Name,Institution,Set A Works,Set B Works,Overlap Score,Career Citations,ORCID,OpenAlex ID,Note,journal_1_openalex_id,journal_2_openalex_id
author,1,Hoang‐Phuong Phan,UNSW Sydney,1,7,8,6525,0000-0002-1724-5667,A5024560510,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,2,Maxim Ziatdinov,Oak Ridge National Laboratory,6,1,7,4428,0000-0003-2570-4592,A5013879711,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,3,Jason K. Eshraghian,"University of California, Santa Cruz",6,1,7,3099,0000-0002-5832-4054,A5077867821,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,4,Sergei V. Kalinin,University of Tennessee at Knoxville,5,1,6,49222,0000-0001-5354-6152,A5048552375,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,5,Kun Zhou,Nanyang Technological University,4,2,6,41607,0000-0001-7660-2911,A5100722039,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,6,Ravinder Dahiya,Northeastern University,2,4,6,26479,0000-0002-3858-3841,A5085150253,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,7,Yubo Fan,Hefei University of Technology,2,4,6,35742,0000-0002-3480-4395,A5066943052,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,8,Markus J. Buehler,Institute of Computing Technology,4,1,5,54051,0000-0002-4173-9659,A5011504360,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,9,Hadi Heidari,University of Glasgow,2,3,5,8787,0000-0001-8412-8164,A5100700922,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,10,Judith L. MacManus‐Driscoll,University of Cambridge,2,2,4,28237,0000-0003-4987-6620,A5035101864,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,11,Yongtao Liu,Xihua University,3,1,4,3237,0000-0003-0152-1783,A5049206710,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,12,Yi Li,Guangdong Polytechnic Normal University,1,3,4,6931,0000-0003-1930-8550,A5100421744,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,13,Sumeet Walia,RMIT University,2,2,4,10450,0000-0002-3645-9847,A5039946062,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,14,Mohan Edirisinghe,The London College,3,1,4,16449,0000-0001-8258-7914,A5050054155,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,15,Yangzhi Zhu,Terasaki Foundation,3,1,4,5252,0000-0003-2920-3365,A5085698318,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
